Id,Name,Mode,StateCode,StatusCode,Category,BaseEntity,SolutionName
6f729d17-1080-4238-8843-48ab5faa7d00,Score History - Auto Name,Real-time,Activated, Activated,Workflow,cmc_retentionscorehistory,CampusManagement_Managed
80cccef7-9320-e811-a95d-000d3a11ec14,Show/Hide Other User Lookup,Real-time,Draft, Draft,BusinessRule,cmc_dommaster,CampusManagement_Managed
430babb1-a3de-e811-a960-000d3a3666c5,Show/Hide Previous Education,Real-time,Activated, Activated,BusinessRule,cmc_applicationrequirement,CampusManagement_Managed
a6f63f04-acde-e811-a960-000d3a3666c5,Show/Hide Recommendation,Real-time,Activated, Activated,BusinessRule,cmc_applicationrequirement,CampusManagement_Managed
993ec037-a3de-e811-a960-000d3a3666c5,Show/Hide Test Score,Real-time,Activated, Activated,BusinessRule,cmc_applicationrequirement,CampusManagement_Managed
71aedfd5-7e44-40da-b298-577fe453f325,Staff Survey - Auto Name,Real-time,Activated, Activated,Workflow,cmc_staffsurvey,CampusManagement_Managed
b896f762-ac12-48be-b7b9-980c69fd67ee,Staff Survey - Send Email,Real-time,Activated, Activated,Workflow,cmc_staffsurvey,CampusManagement_Managed
b48e6cd3-5cee-401e-9db1-bb23c30381fe,Staff Survey Response - Auto Name,Real-time,Activated, Activated,Workflow,cmc_staffsurveyresponse,CampusManagement_Managed
22bb12e7-4666-4f45-b64e-59e110f0f8cf,Success Network - Auto Name,Real-time,Activated, Activated,Workflow,cmc_successnetwork,CampusManagement_Managed
f6090a2e-286b-45b9-9e16-6b16278ca3f7,Success Network Assignment - Auto Name,Real-time,Activated, Activated,Workflow,cmc_successnetworkassignment,CampusManagement_Managed
ac0a5538-b500-4f36-8e0b-d272cc9aac16,Success Plan - Auto Name,Real-time,Activated, Activated,Workflow,cmc_successplan,CampusManagement_Managed
7296048f-4834-4149-a404-fd3732c165a7,Success Plan Template - Copy Success Plan Template,Background,Activated, Activated,Action,cmc_successplantemplate,CampusManagement_Managed
196dabb6-ea6e-40e2-abb1-93f568aa296c,Success Plan Template - Create Student Success Plans from Template,Background,Activated, Activated,Action,cmc_successplantemplate,CampusManagement_Managed
9544ac0f-1ac6-4fd2-a667-773a1460de6e,Test Score - Auto Name,Real-time,Activated, Activated,Workflow,mshied_testscore,CampusManagement_Managed
7e935ac6-2740-4d42-bc7e-668772bdc981,Test Score - Concatenate,Real-time,Activated, Activated,Workflow,mshied_testscore,CampusManagement_Managed
22000efd-b6c9-4db7-b390-db44de99d254,Test Score Conversion - Auto Name,Real-time,Activated, Activated,Workflow,cmc_testscoreconversion,CampusManagement_Managed
4b783e37-46fe-48d4-ba5d-757221126f04,To Do - Alert Faculty on Create,Background,Activated, Activated,Workflow,cmc_todo,CampusManagement_Managed
9656f36e-cc82-456e-b9fc-f3bb1300dc3e,To Do - Alert Faculty when Assigned,Background,Activated, Activated,Workflow,cmc_todo,CampusManagement_Managed
4453d9bb-2382-40ac-918f-a71bedecffdc,To Do - Alert Faculty when Complete,Background,Activated, Activated,Workflow,cmc_todo,CampusManagement_Managed
d851d140-c25c-40bd-9930-7fff0c365af4,To Do - Set Cancellation/Completion Date,Real-time,Activated, Activated,Workflow,cmc_todo,CampusManagement_Managed
128a2fae-f62a-4759-a4c3-78953f096e9f,To Do - Set Read Date,Real-time,Activated, Activated,Workflow,cmc_todo,CampusManagement_Managed
7e760628-460a-4452-a2cd-db21dcad3b9b,Trip - Approval Process,Background,Activated, Activated,BusinessProcessFlow,cmc_trip,CampusManagement_Managed
a0782b6c-4568-4170-a293-5200e64d21ac,Trip - Handle Approval Process Stages,Real-time,Activated, Activated,Workflow,cmc_tripapprovalprocess,CampusManagement_Managed
c4a09e45-7941-4d8c-95fd-33560e462e0a,Trip - Handle Trip Status Changes,Real-time,Activated, Activated,Workflow,cmc_trip,CampusManagement_Managed
dec38aa0-00bd-4932-acd3-c4722f2ebe1d,Trip Activity Update Latitude Longitude,Background,Activated, Activated,Action,cmc_tripactivity,CampusManagement_Managed
b41ae97a-32e1-e811-a95c-000d3a3acbf2,Unlock Application Definition Version,Real-time,Activated, Activated,BusinessRule,cmc_applicationdefinitionversiondetail,CampusManagement_Managed
a2a7e870-34e1-e811-a95c-000d3a3acbf2,Unlock Application Recommendation Definition Lookup,Real-time,Activated, Activated,BusinessRule,cmc_recommendationdefinitiondetail,CampusManagement_Managed
724f24d4-34e1-e811-a95c-000d3a3acbf2,Unlock Application Requirement Definition Lookup,Real-time,Activated, Activated,BusinessRule,cmc_applicationrequirementdefinitiondetail,CampusManagement_Managed
7cf9fc5a-86df-e811-a95c-000d3a3acbf2,Unlock Decision Definition lookup,Real-time,Activated, Activated,BusinessRule,cmc_applicationdecisiondefinitiondetail,CampusManagement_Managed
ab11ba12-1669-4af6-91f4-1b229695c147,User Location - Auto Name,Real-time,Activated, Activated,Workflow,cmc_userlocation,CampusManagement_Managed
838e0445-e103-472c-9538-4ce14ea3599b,RetrieveAccessToken,Background,Activated, Activated,Action,none,CustomPowerBIIntegration_Managed
End,Application - Create Lifecycle,Real-time,Activated, Activated,Workflow,cmc_application,CampusManagementApply_Managed
